Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
,Peptostreptococcus spp.,,,,,,,,,,,"Пептострептококки, Фемофлор 16; Анаэробные грамположительные кокки, Фемофлор 16; Условно-патогенные кокки, Фемофлор 16; Облигатные анаэробы, Фемофлор 16; Гроздевидные анаэробы, Фемофлор 16; Сопутствующие бактерии при воспалении, Фемофлор 16; Peptostreptococcus, Фемофлор 16","Peptostreptococcus species, Femoflor 16; Anaerobic gram-positive cocci, Femoflor 16; Opportunistic cocci, Femoflor 16; Obligate anaerobes, Femoflor 16; Clustered anaerobes, Femoflor 16; Inflammation-associated bacteria, Femoflor 16; Peptostreptococcus, Femoflor 16"
,Atopobium vaginae,,,,,,,,,,,"Atopobium vaginae, Фемофлор 16; Атопобиум вагинальный, Фемофлор 16; Условно-патогенный анаэроб, Фемофлор 16; Бактерия бактериального вагиноза, Фемофлор 16; Anaerobe BV, Фемофлор 16; Ассоциирован с рецидивирующим BV, Фемофлор 16; Микроорганизм дисбиоза, Фемофлор 16","Atopobium vaginae, Femoflor 16; Vaginal Atopobium, Femoflor 16; Opportunistic anaerobe, Femoflor 16; Bacterial vaginosis-associated bacterium, Femoflor 16; BV-related anaerobe, Femoflor 16; Associated with recurrent BV, Femoflor 16; Dysbiosis-associated microorganism, Femoflor 16"
,Mycoplasma hominis,,,,,,,,,,,"Mycoplasma hominis, Фемофлор 16; Микоплазма hominis, Фемофлор 16; Уреаплазмоподобный микроорганизм, Фемофлор 16; Условно-патогенная микоплазма, Фемофлор 16; Интраклетарный патоген, Фемофлор 16; Микроорганизм урогенитального тракта, Фемофлор 16; Mh, Фемофлор 16","Mycoplasma hominis, Femoflor 16; Mh, Femoflor 16; Opportunistic mycoplasma, Femoflor 16; Urogenital mycoplasma, Femoflor 16; Intracellular pathogen, Femoflor 16; Mycoplasma species, Femoflor 16; M. hominis, Femoflor 16"
,Ureaplasma (urealyticum + parvum),,,,,,,,,,,"Ureaplasma, Фемофлор 16; Уреаплазма (urealyticum + parvum), Фемофлор 16; Уреаплазмы, Фемофлор 16; Уреадеградирующие микоплазмы, Фемофлор 16; Условно-патогенные уреаплазмы, Фемофлор 16; U. urealyticum и U. parvum, Фемофлор 16; Uu/Up, Фемофлор 16","Ureaplasma, Femoflor 16; Ureaplasma urealyticum and parvum, Femoflor 16; Ureaplasmas, Femoflor 16; Urease-producing mycoplasmas, Femoflor 16; Opportunistic ureaplasmas, Femoflor 16; U. urealyticum and U. parvum, Femoflor 16; Uu/Up, Femoflor 16"
,Candida spp.,,,,,,,,,,,"Кандида, Фемофлор 16; Candida, Фемофлор 16; Грибы рода Candida, Фемофлор 16; Дрожжеподобные грибы, Фемофлор 16; Условно-патогенные грибы, Фемофлор 16; Кандидозный агент, Фемофлор 16; Дрожжи, Фемофлор 16","Candida species, Femoflor 16; Candida, Femoflor 16; Yeast-like fungi, Femoflor 16; Opportunistic fungi, Femoflor 16; Candidiasis agent, Femoflor 16; Yeasts, Femoflor 16; Fungi of Candida genus, Femoflor 16"
,Mycoplasma genitalium,,,,,,,,,,,"Mycoplasma genitalium, Фемофлор 16; Микоплазма genitalium, Фемофлор 16; Патогенная микоплазма, Фемофлор 16; Урогенитальный патоген, Фемофлор 16; Mg, Фемофлор 16; Микроорганизм, ассоциированный с уретритом, Фемофлор 16; STI-микоплазма, Фемофлор 16","Mycoplasma genitalium, Femoflor 16; Mg, Femoflor 16; Pathogenic mycoplasma, Femoflor 16; Urogenital pathogen, Femoflor 16; Genital mycoplasma, Femoflor 16; Urethritis-associated microorganism, Femoflor 16; STI-related mycoplasma, Femoflor 16"
,КВМ – контроль взятия материала,,,,,,,,,,,"Контроль взятия материала, Фемофлор 16; КВМ, Фемофлор 16; Валидность образца, Фемофлор 16; Контроль качества забора, Фемофлор 16; Взятие биоматериала, Фемофлор 16; Контроль адекватности, Фемофлор 16; Внутренний контроль, Фемофлор 16","Sample Adequacy Control, Femoflor 16; Specimen Collection Control, Femoflor 16; Swab Adequacy, Femoflor 16; Collection Quality Control, Femoflor 16; Sample Validity, Femoflor 16; Internal Control, Femoflor 16; Specimen Adequacy, Femoflor 16"
,ОБМ (общая бактериальная масса),,,,,,,,,,,"Общая бактериальная масса, Фемофлор 16; ОБМ, Фемофлор 16; Микробная нагрузка, Фемофлор 16; Общее количество бактерий, Фемофлор 16; Бактериальная плотность, Фемофлор 16; Суммарная ДНК бактерий, Фемофлор 16; Микробиомная масса, Фемофлор 16","Total Bacterial Mass, Femoflor 16; TBM, Femoflor 16; Microbial Load, Femoflor 16; Total Bacterial Count, Femoflor 16; Bacterial Density, Femoflor 16; Total Bacterial DNA, Femoflor 16; Microbiome Mass, Femoflor 16"
Фемофлор - 8,Lactobacillus spp.,Соскоб урогенитальный,,,,,,,Полимеразная цепная реакция в режиме реального времени,ПЦР-ДИАГНОСТИКА ИНФЕКЦИЙ		,Количественное исследование биоценоза влагалища (ПЦР)		,"Лактобациллы, Фемофлор 8; Лактобактерии, Фемофлор 8; Палочки Додерляйна, Фемофлор 8; Молочнокислые бактерии, Фемофлор 8; Lactobacillus, Фемофлор 8; Бактерии нормоценоза, Фемофлор 8; Ацидофильные палочки, Фемофлор 8","Lactobacillus species, Femoflor 8; Lactobacilli, Femoflor 8; Döderlein's bacilli, Femoflor 8; Lactic acid bacteria, Femoflor 8; Lactobacillus, Femoflor 8; Normal flora bacteria, Femoflor 8; Acidophilic rods, Femoflor 8"
,Семейство Enterobacteriaceae,,,,,,,,,,,"Энтеробактерии, Фемофлор 8; Энтеробактериaceae, Фемофлор 8; Грамотрицательные палочки, Фемофлор 8; Кишечные палочки, Фемофлор 8; Условно-патогенные энтеробактерии, Фемофлор 8; Enterobacteriaceae, Фемофлор 8; Факультативные анаэробы, Фемофлор 8","Enterobacteriaceae, Femoflor 8; Enterobacteriaceae family, Femoflor 8; Gram-negative rods, Femoflor 8; Intestinal rods, Femoflor 8; Opportunistic enterobacteria, Femoflor 8; Facultative anaerobes, Femoflor 8; Rod-shaped bacteria, Femoflor 8"
,Streptococcus spp.,,,,,,,,,,,"Стрептококки, Фемофлор 8; Гемолитический стрептококк, Фемофлор 8; Streptococcus, Фемофлор 8; Альфа- и бета-гемолитические стрептококки, Фемофлор 8; Условно-патогенные стрептококки, Фемофлор 8; Стрептококки группы В, Фемофлор 8; Гроздевидные бактерии, Фемофлор 8","Streptococcus species, Femoflor 8; Streptococci, Femoflor 8; Hemolytic streptococcus, Femoflor 8; Alpha- and beta-hemolytic streptococci, Femoflor 8; Opportunistic streptococci, Femoflor 8; Group B streptococcus, Femoflor 8; Grape-like cocci, Femoflor 8"
,"Gardnerella vaginalis, Prevotella bivia, Porphyromonas spp.",,,,,,,,,,,"Гарднерелла и анаэробные бактерии, Фемофлор 8; G. vaginalis / P. bivia / Porphyromonas, Фемофлор 8; Ассоциированные анаэробы, Фемофлор 8; Бактерии бактериального вагиноза, Фемофлор 8; Комплекс Gardnerella-Prevotella-Porphyromonas, Фемофлор 8; Условно-патогенные анаэробы, Фемофлор 8; Anaerobic mix, Фемофлор 8","Gardnerella vaginalis, Prevotella bivia, Porphyromonas spp., Femoflor 8; G. vaginalis / P. bivia / Porphyromonas, Femoflor 8; Anaerobic bacteria complex, Femoflor 8; BV-associated bacteria, Femoflor 8; Gardnerella-Prevotella-Porphyromonas complex, Femoflor 8; Opportunistic anaerobes, Femoflor 8; Mixed anaerobes, Femoflor 8"
,Eubacterium spp.,,,,,,,,,,,"Эубактерии, Фемофлор 8; Eubacterium, Фемофлор 8; Ацидофильные анаэробы, Фемофлор 8; Ферментирующие бактерии, Фемофлор 8; Условно-патогенные анаэробы, Фемофлор 8; Эубактерии толстой кишки, Фемофлор 8; Спорулирующие бактерии, Фемофлор 8","Eubacterium species, Femoflor 8; Eubacteria, Femoflor 8; Acidophilic anaerobes, Femoflor 8; Fermenting bacteria, Femoflor 8; Opportunistic anaerobes, Femoflor 8; Colon anaerobes, Femoflor 8; Spore-forming bacteria, Femoflor 8"
,Candida spp.,,,,,,,,,,,"Кандида, Фемофлор 8; Candida, Фемофлор 8; Грибы рода Candida, Фемофлор 8; Дрожжеподобные грибы, Фемофлор 8; Условно-патогенные грибы, Фемофлор 8; Кандидозный агент, Фемофлор 8; Дрожжи, Фемофлор 8","Candida species, Femoflor 8; Candida, Femoflor 8; Yeast-like fungi, Femoflor 8; Opportunistic fungi, Femoflor 8; Candidiasis agent, Femoflor 8; Yeasts, Femoflor 8; Fungi of Candida genus, Femoflor 8"
,Mycoplasma hominis,,,,,,,,,,,"Mycoplasma hominis, Фемофлор 8; Микоплазма hominis, Фемофлор 8; Условно-патогенная микоплазма, Фемофлор 8; Микроорганизм урогенитального тракта, Фемофлор 8; Mh, Фемофлор 8; Интраклетарный патоген, Фемофлор 8; Streptococcus-like mycoplasma, Фемофлор 8","Mycoplasma hominis, Femoflor 8; Mh, Femoflor 8; Opportunistic mycoplasma, Femoflor 8; Urogenital mycoplasma, Femoflor 8; Intracellular pathogen, Femoflor 8; Mycoplasma species, Femoflor 8; Streptococcus-like mycoplasma, Femoflor 8"
,Mycoplasma genitalium,,,,,,,,,,,"Mycoplasma genitalium, Фемофлор 8; Микоплазма genitalium, Фемофлор 8; Патогенная микоплазма, Фемофлор 8; Урогенитальный патоген, Фемофлор 8; Mg, Фемофлор 8; Микроорганизм, ассоциированный с уретритом, Фемофлор 8; STI-микоплазма, Фемофлор 8","Mycoplasma genitalium, Femoflor 8; Mg, Femoflor 8; Pathogenic mycoplasma, Femoflor 8; Urogenital pathogen, Femoflor 8; Genital mycoplasma, Femoflor 8; Urethritis-associated microorganism, Femoflor 8; STI-related mycoplasma, Femoflor 8"
,КВМ – контроль взятия материала,,,,,,,,,,,"Контроль взятия материала, Фемофлор 8; КВМ, Фемофлор 8; Валидность образца, Фемофлор 8; Контроль качества забора, Фемофлор 8; Взятие биоматериала, Фемофлор 8; Контроль адекватности, Фемофлор 8; Внутренний контроль, Фемофлор 8","Sample Adequacy Control, Femoflor 8; Specimen Collection Control, Femoflor 8; Swab Adequacy, Femoflor 8; Collection Quality Control, Femoflor 8; Sample Validity, Femoflor 8; Internal Control, Femoflor 8; Specimen Adequacy, Femoflor 8"
,ОБМ (общая бактериальная масса),,,,,,,,,,,"Общая бактериальная масса, Фемофлор 8; ОБМ, Фемофлор 8; Микробная нагрузка, Фемофлор 8; Общее количество бактерий, Фемофлор 8; Бактериальная плотность, Фемофлор 8; Суммарная ДНК бактерий, Фемофлор 8; Микробиомная масса, Фемофлор 8","Total Bacterial Mass, Femoflor 8; TBM, Femoflor 8; Microbial Load, Femoflor 8; Total Bacterial Count, Femoflor 8; Bacterial Density, Femoflor 8; Total Bacterial DNA, Femoflor 8; Microbiome Mass, Femoflor 8"
"Антитела к коронавирусу SARS-CoV-2 (COVID-19), IgM, качественно",КП,Сыв-ка крови,,0,0.8,,,,Иммуноферментный анализ (ИФА),,,,
,Результат,,,,Отрицательно,,,,,,,,
"Антитела к коронавирусу SARS-CoV-2 (COVID-19), IgG, качественно",КП,Сыв-ка крови,,0,0.8,,,,Иммуноферментный анализ (ИФА),,,,
,Результат,,,,Отрицательно,,,,,,,,
"Антитела к коронавирусу SARS-CoV-2 (COVID19), к спайковому (S) и нуклеокапсидному (N) белкам, IgG, качественно",КП,Сыв-ка крови,,0,0.8,,,,"Иммуноферментный анализ, тест-система SARS-CoV-2-IgG-ИФА-БЕСТ"" (Вектор-Бест, Россия)",,,,
,Результат,,,,Отрицательно,,,,,,,,
"Coronavirus SARS-CoV-2, РНК","Coronavirus SARS-CoV-2, РНК",Мазок из ротоглотки и носоглотки,,,Отрицательно,,,,Real-Time ПЦР с обратной транскрипцией,,,,
,корона вирус сеувкнирование,,,,,,,,,,,,
,отирт ЛЭМП реакция,Мазок из ротоглотки и носоглотки,,,,,,,,,,,
,,бронхо лаваж,,,,,,,,,,,
"L-карнитин в крови (общий), ВЭЖХ-МС","L-карнитин в крови (общий), ВЭЖХ-МС",Кровь ЭДТА,мкмоль/л,23,68,Новорожденные (от 0 до 2 дней),,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Жирные кислоты,"Общий L-карнитин плазмы, определение общего карнитина, уровень общего карнитина в крови, скрининг на нарушения метаболизма карнитина, ВЭЖХ-МС анализ общего карнитина, общий карнитин (плазма), оценка карнитинового статуса (общий)","Total L-carnitine in plasma, plasma total carnitine assay, blood total carnitine level, carnitine metabolism disorder screening (total), HPLC-MS/MS measurement of total carnitine, total carnitine (EDTA plasma), carnitine status assessment (total)"
,,,,17,41,Новорожденные от 2 до 4 дней,,,,,,,
,,,,19,59,От 4 дней до 1 месяца,,,,,,,
,,,,38,68,Дети (от 1 мес до 1 года),,,,,,,
,,,,35,84,Дети (от 1 до 7 лет),,,,,,,
,,,,28,83,Дети (7-11 лет),,,,,,,
,,,,34,77,Дети (11-18 лет),,,,,,,
,,,,34,78,Взрослые (от 18 лет и старше),,,,,,,
"L-карнитин в крови (свободный и общий), ВЭЖХ-МС","L-карнитин свободный (C0) в крови
",Кровь ЭДТА,мкмоль/л,9,52,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Жирные кислоты,"Профиль карнитина в моче, свободный и общий карнитин мочи, экскреция карнитина с мочой, почечный клиренс карнитина, ВЭЖХ-МС анализ мочи на карнитин, диагностика вторичной карнитинурии, оценка потерь карнитина","Urinary carnitine profile, free and total carnitine in urine, urinary carnitine excretion, renal carnitine clearance, HPLC-MS/MS analysis of urinary carnitine, diagnostics of secondary carnitinuria, assessment of carnitine losses"
,"L-карнитин общий (C total) в крови
",Кровь ЭДТА,мкмоль/л,23,68,Новорожденные (от 0 до 2 дней),,,,ВЭЖХ-МС,Жирные кислоты,"Общий L-карнитин плазмы, определение общего карнитина, уровень общего карнитина в крови, скрининг на нарушения метаболизма карнитина, ВЭЖХ-МС анализ общего карнитина, общий карнитин (плазма), оценка карнитинового статуса (общий)","Total L-carnitine in plasma, plasma total carnitine assay, blood total carnitine level, carnitine metabolism disorder screening (total), HPLC-MS/MS measurement of total carnitine, total carnitine (EDTA plasma), carnitine status assessment (total)"
,,,мкмоль/л,17,41,Новорожденные от 2 до 4 дней,,,,,,,
,,,мкмоль/л,19,59,От 4 дней до 1 месяца,,,,,,,
,,,мкмоль/л,38,68,Дети (от 1 мес до 1 года),,,,,,,
,,,мкмоль/л,35,84,Дети (от 1 до 7 лет),,,,,,,
,,,мкмоль/л,28,83,Дети (7-11 лет),,,,,,,
,,,мкмоль/л,34,77,Дети (11-18 лет),,,,,,,
,,,мкмоль/л,34,78,Взрослые (от 18 лет и старше),,,,,,,
"Адреналин в суточной моче, ВЭЖХ","Адреналин в суточной моче, ВЭЖХ",Суточная моча,мкг/сут,0,"2,5",Дети до 1 года,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,ОБМЕН КАТЕХОЛАМИНОВ И СЕРОТОНИНА,"Адреналин мочи, суточная экскреция адреналина, определение адреналина в моче, катехоламины мочи (адреналин), фракция адреналина, оценка симпато-адреналовой системы, скрининг на феохромоцитому","Urinary adrenaline, 24-hour urinary adrenaline excretion, urine adrenaline assay, urinary catecholamines (adrenaline), adrenaline fraction, assessment of sympatho-adrenal system, pheochromocytoma screening"
,,,,0,"3,5",Дети (1-2 года),,,,,,,
,,,,0,6,Дети (2-4 года),,,,,,,
,,,,"0,2",10,Дети (4-10 лет),,,,,,,
,,,,"0,5",20,Дети (10-16 лет),,,,,,,
,,,,0,20,Взрослые от 16 лет и старше,,,,,,,
"Асимметричный диметиларгинин (АДМА), метод ВЭЖХ-МС","Асимметричный диметиларгинин (АДМА), метод ВЭЖХ-МС",Кровь ЭДТА,нг/мл,63,137,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Жирные кислоты,"ADMA, асимметричный диметиларгинин плазмы, маркер эндотелиальной дисфункции, ингибитор NO-синтазы, определение ADMA, риск сердечно-сосудистых событий, маркер сосудистого здоровья","ADMA, asymmetric dimethylarginine in plasma, endothelial dysfunction marker, nitric oxide synthase inhibitor, ADMA assay, cardiovascular risk marker, vascular health biomarker"
"Бета-каротин, ВЭЖХ-УФ","Бета-каротин, ВЭЖХ-УФ",Сыв-ка крови,нг/мл,100,850,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Бета-каротин сыворотки, провитамин А, уровень каротиноидов, антиоксидантный статус (каротиноиды), скрининг гиповитаминоза А, пищевой статус по каротиноидам, спектр каротиноидов","Beta-carotene serum, provitamin A, carotenoid levels, antioxidant status (carotenoids), hypovitaminosis A screening, carotenoid nutritional status, carotenoid profile"
"Витамин B1  (тиамин), ВЭЖХ-МС","Витамин B1  (тиамин), ВЭЖХ-МС",Замороженная плазма,нг/мл,"1,06","3,98",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Тиамин плазмы, витамин B1, оценка статуса тиамина, скрининг дефицита витамина B1, тиамин в плазме, маркер нутритивного статуса, диагностика бери-бери","Thiamine plasma, vitamin B1, thiamine status assessment, vitamin B1 deficiency screening, plasma thiamine, nutritional status marker, beriberi diagnostics"
"Витамин B2 (рибофлавин), ВЭЖХ-МС","Витамин B2 (рибофлавин), ВЭЖХ-МС",Замороженная плазма,нг/мл,137,370,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Рибофлавин плазмы, витамин B2, оценка статуса рибофлавина, скрининг дефицита витамина B2, рибофлавин в плазме, маркер арибофлавиноза, кофактор энергетического метаболизма","Riboflavin plasma, vitamin B2, riboflavin status assessment, vitamin B2 deficiency screening, plasma riboflavin, ariboflavinosis marker, energy metabolism cofactor assessment"
"Витамин B3 (никотинамид), ВЭЖХ-МС","Витамин B3 (никотинамид), ВЭЖХ-МС",Замороженная плазма,нг/мл,"5,2","72,1",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Никотинамид плазмы, витамин B3, ниацин, оценка статуса ниацина, скрининг дефицита витамина B3, никотинамид в плазме, диагностика пеллагры, маркер NAD/NADP пула","Nicotinamide plasma, vitamin B3, niacin, niacin status assessment, vitamin B3 deficiency screening, plasma nicotinamide, pellagra diagnostics, NAD/NADP pool marker"
"Витамин B5 (пантотеновая кислота), ВЭЖХ-МС","Витамин B5 (пантотеновая кислота), ВЭЖХ-МС",Замороженная плазма,мкг/мл,"0,003","0,825",Дети до 1 года,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Пантотеновая кислота плазмы, витамин B5, оценка статуса пантотената, скрининг дефицита витамина B5, пантотеновая кислота в плазме, кофактор метаболизма, маркер синтеза коэнзима А","Pantothenic acid plasma, vitamin B5, pantothenate status assessment, vitamin B5 deficiency screening, plasma pantothenic acid, metabolism cofactor, coenzyme A synthesis marker"
,,,,"0,003","0,229",Дети (1-10 лет),,,,,,,
,,,,"0,037","0,147",Взрослые от 10 лет,,,,,,,
"Витамин B6 (пиридоксин), ВЭЖХ-МС","Витамин B6 (пиридоксин), ВЭЖХ-МС",Замороженная плазма,нг/мл,"8,7","27,2",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Пиридоксин плазмы, витамин B6, оценка статуса витамина B6, скрининг дефицита пиридоксина, витамин B6 в плазме, кофактор аминокислотного метаболизма, маркер нутритивного статуса","Pyridoxine plasma, vitamin B6, vitamin B6 status assessment, pyridoxine deficiency screening, plasma vitamin B6, amino acid metabolism cofactor, nutritional status marker"
"Витамин B7 (биотин), ВЭЖХ-МС","Витамин B7 (биотин), ВЭЖХ-МС",Замороженная плазма,нг/мл,"0,060","2,460",Дети до 12 лет,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Биотин плазмы, витамин B7, витамин H, оценка статуса биотина, скрининг дефицита витамина B7, биотин в плазме, кофактор карбоксилаз, маркер метаболизма жирных кислот","Biotin plasma, vitamin B7, vitamin H, biotin status assessment, vitamin B7 deficiency screening, plasma biotin, carboxylase cofactor, fatty acid metabolism marker"
,,,,"0,221","3,004",Взрослые от 12 лет,,,,,,,
"Витамин C (аскорбиновая кислота), ВЭЖХ-МС","Витамин C (аскорбиновая кислота), ВЭЖХ-МС",Замороженная плазма,мкг/мл,4,20,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Аскорбиновая кислота плазмы, витамин C, оценка статуса витамина C, скрининг дефицита аскорбиновой кислоты, витамин C в плазме, антиоксидантный статус, маркер нутритивного статуса","Ascorbic acid plasma, vitamin C, vitamin C status assessment, ascorbic acid deficiency screening, plasma vitamin C, antioxidant status marker, nutritional status marker"
"Витамин D, 1,25-OH (1,25-дигидроксикальциферол), ВЭЖХ-МС","Витамин D, 1,25-OH (1,25-дигидроксикальциферол), ВЭЖХ-МС",Сыв-ка крови,пг/мл,16,65,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"1,25-дигидроксивитамин D, кальцитриол, активная форма витамина D, гормональная форма витамина D, оценка метаболизма витамина D, диагностика нарушений метаболизма кальция, почечный метаболит витамина D","1,25-dihydroxyvitamin D, calcitriol, active vitamin D, hormonal form of vitamin D, vitamin D metabolism assessment, calcium metabolism disorders diagnostics, renal vitamin D metabolite"
"Витамин D, 25-OH (25-гидроксикальциферол), ВЭЖХ-МС","Витамин D, 25-OH (25-гидроксикальциферол), ВЭЖХ-МС",Сыв-ка крови,нг/мл,"2,98","49,6",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"25-гидроксивитамин D, кальцидиол, основной метаболит витамина D, оценка статуса витамина D, скрининг дефицита витамина D, суммарный витамин D (D2+D3), маркер обеспеченности витамином D","25-hydroxyvitamin D, calcidiol, major vitamin D metabolite, vitamin D status assessment, vitamin D deficiency screening, total vitamin D (D2+D3), vitamin D sufficiency marker"
"Витамин E (токоферол), ВЭЖХ-МС","Витамин E (токоферол), ВЭЖХ-МС",Сыв-ка крови,нг/мл,"0,060","2,460",Дети до 12 лет,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Альфа-токоферол сыворотки, витамин E, оценка статуса витамина E, скрининг дефицита токоферола, антиоксидантный статус (витамин E), основной антиоксидант плазмы, маркер нутритивного статуса","Alpha-tocopherol serum, vitamin E, vitamin E status assessment, tocopherol deficiency screening, antioxidant status (vitamin E), major plasma antioxidant, nutritional status marker"
,,,,"0,221","3,004",Взрослые от 12 лет,,,,,,,
"Витамин K (филлохинон), ВЭЖХ-МС","Витамин K (филлохинон), ВЭЖХ-МС",Сыв-ка крови,нг/мл,"0,1","2,2",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Филлохинон сыворотки, витамин K1, оценка статуса витамина K, скрининг дефицита витамина K, коагуляционный витамин, маркер коагуляции, фактор свертывания крови, маркер нутритивного статуса","Phylloquinone serum, vitamin K1, vitamin K status assessment, vitamin K deficiency screening, coagulation vitamin, coagulation marker, blood clotting factor, nutritional status marker"
"Витамин А (ретинол), ВЭЖХ-МС","Витамин А (ретинол), ВЭЖХ-МС",Сыв-ка крови,мкг/мл,"0,200","0,430",Дети (от 0 до 6 лет),,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Ретинол сыворотки, витамин A, оценка статуса витамина A, скрининг дефицита витамина A, ретинол в сыворотке, маркер нутритивного статуса, диагностика гиповитаминоза A","Retinol serum, vitamin A, vitamin A status assessment, vitamin A deficiency screening, serum retinol, nutritional status marker, hypovitaminosis A diagnostics"
,,,,"0,260","0,490",Дети (6-13 лет),,,,,,,
,,,,"0,260","0,720",От 13 до 19 лет,,,,,,,
,,,,"0,300","0,800",Взрослые от 19 лет,,,,,,,
"Гистамин в крови, ВЭЖХ","Гистамин в крови, ВЭЖХ",Замороженная плазма,нмоль/л,0,"9,3",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Гистамин плазмы, медиатор воспаления и аллергии, маркер активации тучных клеток, диагностика анафилаксии, оценка аллергического статуса, биогенный амин, маркер дегрануляции тучных клеток","Histamine plasma, inflammation and allergy mediator, mast cell activation marker, anaphylaxis diagnostics, allergic status assessment, biogenic amine, mast cell degranulation marker"
"Гистамин в суточной моче, ВЭЖХ-МС","Гистамин в суточной моче, ВЭЖХ-МС",Суточная моча,мкг/сут,0,65,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Витамины,"Гистамин мочи, суточная экскреция гистамина, маркер системной активации тучных клеток, диагностика мастоцитоза, оценка высвобождения гистамина, метаболит гистамина, диагностика аллергических заболеваний","Urinary histamine, 24-hour urinary histamine excretion, systemic mast cell activation marker, mastocytosis diagnostics, histamine release assessment, histamine metabolite, allergic diseases diagnostics"
"Дегидроэпиандростерон (ДГЭА) в слюне, метод ВЭЖХ-МС","Дегидроэпиандростерон (ДГЭА) в слюне, метод ВЭЖХ-МС",Слюна,нг/мл,"0,9","1,74",,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Гормональные исследования,"ДГЭА слюны, свободный ДГЭА, неконъюгированный ДГЭА, биодоступный ДГЭА, оценка надпочечниковой андрогенной активности, адренархе, маркер функции надпочечников","Salivary DHEA, free DHEA, unconjugated DHEA, bioavailable DHEA, adrenal androgen activity assessment, adrenarche, adrenal function marker"
"Мелатонин в крови, метод ВЭЖХ-МС","Мелатонин в крови, метод ВЭЖХ-МС",Кровь ЭДТА,пг/мл,0,200,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Гормональные исследования,"Мелатонин плазмы, гормон сна, маркер циркадных ритмов, оценка секреции мелатонина, диагностика нарушений сна, N-ацетил-5-метокситриптамин, маркер эпифизарной функции, регулятор цикла сон-бодрствование","Melatonin plasma, sleep hormone, circadian rhythm marker, melatonin secretion assessment, sleep disorders diagnostics, N-acetyl-5-methoxytryptamine, pineal function marker, sleep-wake cycle regulator"
Прогестерон в слюне (ВЭЖХ),Прогестерон в слюне (ВЭЖХ),Слюна,нг/мл,в,"0,360",женщины,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Гормональные исследования,"Прогестерон слюны, свободный прогестерон, биодоступный прогестерон, оценка лютеиновой фазы, маркер овуляции, гестаген, маркер функции желтого тела","Salivary progesterone, free progesterone, bioavailable progesterone, luteal phase assessment, ovulation marker, gestagen, corpus luteum function marker"
,,,,"0,08","0,180",мужчины,,,,,,,
"Серотонин в крови, ВЭЖХ","Серотонин в крови, ВЭЖХ",Замороженная сыв-ка,нг/мл,50,220,,,,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией,ВЭЖХ-МС,Гормональные исследования,"Серотонин сыворотки, 5-гидрокситриптамин (5-HT), маркер серотонинергической активности, нейромедиатор, оценка метаболизма триптофана, диагностика карциноидного синдрома, регулятор настроения","Serotonin serum, 5-hydroxytryptamine (5-HT), serotonergic activity marker, neurotransmitter, tryptophan metabolism assessment, carcinoid syndrome diagnostics, mood regulator"
